template,dof,witness,dirac_pairs,real_Y0_singlet_entries,truly_chiral_at_witness
"(1,1) + (1,2) + (3,2) + (3b,1) + (3b,1)",45,"(6, -3, 1, -4, 2)",0,0,True
"(1,1) + (1,2) + (3,1) + (3,1) + (3b,2)",45,"(6, -3, -4, 2, 1)",0,0,True
"(1,1) + (1,1) + (1,2) + (3,2) + (3b,1) + (3b,1)",48,"(0, 6, -3, 1, -4, 2)",0,1,True
"(1,1) + (1,1) + (1,2) + (3,1) + (3,1) + (3b,2)",48,"(0, 6, -3, -4, 2, 1)",0,1,True
"(1,2) + (3,2) + (3b,1) + (3b,1) + (8,1)",66,"(-15, 5, -5, 13, -3)",0,0,True
"(1,2) + (3,1) + (3,1) + (3b,2) + (8,1)",66,"(-15, -5, 13, 5, -3)",0,0,True
"(1,1) + (1,2) + (3,2) + (3b,1) + (3b,1) + (8,1)",69,"(6, -3, 1, -4, 2, 0)",0,1,True
"(1,1) + (1,2) + (3,1) + (3,1) + (3b,2) + (8,1)",69,"(6, -3, -4, 2, 1, 0)",0,1,True
"(1,1) + (1,1) + (1,2) + (3,2) + (3b,1) + (3b,1) + (8,1)",72,"(0, 6, -3, 1, -4, 2, 0)",0,2,True
"(1,1) + (1,1) + (1,2) + (3,1) + (3,1) + (3b,2) + (8,1)",72,"(0, 6, -3, -4, 2, 1, 0)",0,2,True
