template_id,template,dof,first_failing_filter_or_status
1,"(3,2)",18,F3_content
2,"(3b,2)",18,F3_content
3,"(1,1) + (3,2)",21,F3_content
4,"(1,1) + (3b,2)",21,F3_content
5,"(1,1) + (1,1) + (3,2)",24,F3_content
6,"(1,1) + (1,1) + (3b,2)",24,F3_content
7,"(1,2) + (3,2)",24,F3_content
8,"(1,2) + (3b,2)",24,F3_content
9,"(1,1) + (1,2) + (3,2)",27,F3_content
10,"(1,1) + (1,2) + (3b,2)",27,F3_content
11,"(3,1) + (3,2)",27,F4_SU3_cubic
12,"(3,1) + (3b,2)",27,F4_SU3_cubic
13,"(3,2) + (3b,1)",27,F4_SU3_cubic
14,"(3b,1) + (3b,2)",27,F4_SU3_cubic
15,"(1,1) + (1,1) + (1,2) + (3,2)",30,F3_content
16,"(1,1) + (1,1) + (1,2) + (3b,2)",30,F3_content
17,"(1,1) + (3,1) + (3,2)",30,F4_SU3_cubic
18,"(1,1) + (3,1) + (3b,2)",30,F4_SU3_cubic
19,"(1,1) + (3,2) + (3b,1)",30,F4_SU3_cubic
20,"(1,1) + (3b,1) + (3b,2)",30,F4_SU3_cubic
21,"(1,1) + (1,1) + (3,1) + (3,2)",33,F4_SU3_cubic
22,"(1,1) + (1,1) + (3,1) + (3b,2)",33,F4_SU3_cubic
23,"(1,1) + (1,1) + (3,2) + (3b,1)",33,F4_SU3_cubic
24,"(1,1) + (1,1) + (3b,1) + (3b,2)",33,F4_SU3_cubic
25,"(1,2) + (3,1) + (3,2)",33,F4_SU3_cubic
26,"(1,2) + (3,1) + (3b,2)",33,F4_SU3_cubic
27,"(1,2) + (3,2) + (3b,1)",33,F4_SU3_cubic
28,"(1,2) + (3b,1) + (3b,2)",33,F4_SU3_cubic
29,"(1,1) + (1,2) + (3,1) + (3,2)",36,F4_SU3_cubic
30,"(1,1) + (1,2) + (3,1) + (3b,2)",36,F4_SU3_cubic
31,"(1,1) + (1,2) + (3,2) + (3b,1)",36,F4_SU3_cubic
32,"(1,1) + (1,2) + (3b,1) + (3b,2)",36,F4_SU3_cubic
33,"(3,1) + (3,1) + (3,2)",36,F4_SU3_cubic
34,"(3,1) + (3,1) + (3b,2)",36,F5_Witten
35,"(3,1) + (3,2) + (3b,1)",36,F4_SU3_cubic
36,"(3,1) + (3b,1) + (3b,2)",36,F4_SU3_cubic
37,"(3,2) + (3b,1) + (3b,1)",36,F5_Witten
38,"(3,2) + (6,1)",36,F4_SU3_cubic
39,"(3,2) + (6b,1)",36,F4_SU3_cubic
40,"(3b,1) + (3b,1) + (3b,2)",36,F4_SU3_cubic
41,"(3b,2) + (6,1)",36,F4_SU3_cubic
42,"(3b,2) + (6b,1)",36,F4_SU3_cubic
43,"(6,2)",36,F3_content
44,"(6b,2)",36,F3_content
45,"(1,1) + (1,1) + (1,2) + (3,1) + (3,2)",39,F4_SU3_cubic
46,"(1,1) + (1,1) + (1,2) + (3,1) + (3b,2)",39,F4_SU3_cubic
47,"(1,1) + (1,1) + (1,2) + (3,2) + (3b,1)",39,F4_SU3_cubic
48,"(1,1) + (1,1) + (1,2) + (3b,1) + (3b,2)",39,F4_SU3_cubic
49,"(1,1) + (3,1) + (3,1) + (3,2)",39,F4_SU3_cubic
50,"(1,1) + (3,1) + (3,1) + (3b,2)",39,F5_Witten
51,"(1,1) + (3,1) + (3,2) + (3b,1)",39,F4_SU3_cubic
52,"(1,1) + (3,1) + (3b,1) + (3b,2)",39,F4_SU3_cubic
53,"(1,1) + (3,2) + (3b,1) + (3b,1)",39,F5_Witten
54,"(1,1) + (3,2) + (6,1)",39,F4_SU3_cubic
55,"(1,1) + (3,2) + (6b,1)",39,F4_SU3_cubic
56,"(1,1) + (3b,1) + (3b,1) + (3b,2)",39,F4_SU3_cubic
57,"(1,1) + (3b,2) + (6,1)",39,F4_SU3_cubic
58,"(1,1) + (3b,2) + (6b,1)",39,F4_SU3_cubic
59,"(1,1) + (6,2)",39,F3_content
60,"(1,1) + (6b,2)",39,F3_content
61,"(1,1) + (1,1) + (3,1) + (3,1) + (3,2)",42,F4_SU3_cubic
62,"(1,1) + (1,1) + (3,1) + (3,1) + (3b,2)",42,F5_Witten
63,"(1,1) + (1,1) + (3,1) + (3,2) + (3b,1)",42,F4_SU3_cubic
64,"(1,1) + (1,1) + (3,1) + (3b,1) + (3b,2)",42,F4_SU3_cubic
65,"(1,1) + (1,1) + (3,2) + (3b,1) + (3b,1)",42,F5_Witten
66,"(1,1) + (1,1) + (3,2) + (6,1)",42,F4_SU3_cubic
67,"(1,1) + (1,1) + (3,2) + (6b,1)",42,F4_SU3_cubic
68,"(1,1) + (1,1) + (3b,1) + (3b,1) + (3b,2)",42,F4_SU3_cubic
69,"(1,1) + (1,1) + (3b,2) + (6,1)",42,F4_SU3_cubic
70,"(1,1) + (1,1) + (3b,2) + (6b,1)",42,F4_SU3_cubic
71,"(1,1) + (1,1) + (6,2)",42,F3_content
72,"(1,1) + (1,1) + (6b,2)",42,F3_content
73,"(1,2) + (3,1) + (3,1) + (3,2)",42,F4_SU3_cubic
74,"(1,2) + (3,1) + (3,1) + (3b,2)",42,F6_full_system_nondegeneracy
75,"(1,2) + (3,1) + (3,2) + (3b,1)",42,F4_SU3_cubic
76,"(1,2) + (3,1) + (3b,1) + (3b,2)",42,F4_SU3_cubic
