template_id,template,dof,cpt_class_representative,is_cpt_representative
1,"(3,2)",18,"(3,2)",True
2,"(3b,2)",18,"(3,2)",False
3,"(1,1) + (3,2)",21,"(1,1) + (3,2)",True
4,"(1,1) + (3b,2)",21,"(1,1) + (3,2)",False
5,"(1,1) + (1,1) + (3,2)",24,"(1,1) + (1,1) + (3,2)",True
6,"(1,1) + (1,1) + (3b,2)",24,"(1,1) + (1,1) + (3,2)",False
7,"(1,2) + (3,2)",24,"(1,2) + (3,2)",True
8,"(1,2) + (3b,2)",24,"(1,2) + (3,2)",False
9,"(1,1) + (1,2) + (3,2)",27,"(1,1) + (1,2) + (3,2)",True
10,"(1,1) + (1,2) + (3b,2)",27,"(1,1) + (1,2) + (3,2)",False
11,"(3,1) + (3,2)",27,"(3,1) + (3,2)",True
12,"(3,1) + (3b,2)",27,"(3,1) + (3b,2)",True
13,"(3,2) + (3b,1)",27,"(3,1) + (3b,2)",False
14,"(3b,1) + (3b,2)",27,"(3,1) + (3,2)",False
15,"(1,1) + (1,1) + (1,2) + (3,2)",30,"(1,1) + (1,1) + (1,2) + (3,2)",True
16,"(1,1) + (1,1) + (1,2) + (3b,2)",30,"(1,1) + (1,1) + (1,2) + (3,2)",False
17,"(1,1) + (3,1) + (3,2)",30,"(1,1) + (3,1) + (3,2)",True
18,"(1,1) + (3,1) + (3b,2)",30,"(1,1) + (3,1) + (3b,2)",True
19,"(1,1) + (3,2) + (3b,1)",30,"(1,1) + (3,1) + (3b,2)",False
20,"(1,1) + (3b,1) + (3b,2)",30,"(1,1) + (3,1) + (3,2)",False
21,"(1,1) + (1,1) + (3,1) + (3,2)",33,"(1,1) + (1,1) + (3,1) + (3,2)",True
22,"(1,1) + (1,1) + (3,1) + (3b,2)",33,"(1,1) + (1,1) + (3,1) + (3b,2)",True
23,"(1,1) + (1,1) + (3,2) + (3b,1)",33,"(1,1) + (1,1) + (3,1) + (3b,2)",False
24,"(1,1) + (1,1) + (3b,1) + (3b,2)",33,"(1,1) + (1,1) + (3,1) + (3,2)",False
25,"(1,2) + (3,1) + (3,2)",33,"(1,2) + (3,1) + (3,2)",True
26,"(1,2) + (3,1) + (3b,2)",33,"(1,2) + (3,1) + (3b,2)",True
27,"(1,2) + (3,2) + (3b,1)",33,"(1,2) + (3,1) + (3b,2)",False
28,"(1,2) + (3b,1) + (3b,2)",33,"(1,2) + (3,1) + (3,2)",False
29,"(1,1) + (1,2) + (3,1) + (3,2)",36,"(1,1) + (1,2) + (3,1) + (3,2)",True
30,"(1,1) + (1,2) + (3,1) + (3b,2)",36,"(1,1) + (1,2) + (3,1) + (3b,2)",True
31,"(1,1) + (1,2) + (3,2) + (3b,1)",36,"(1,1) + (1,2) + (3,1) + (3b,2)",False
32,"(1,1) + (1,2) + (3b,1) + (3b,2)",36,"(1,1) + (1,2) + (3,1) + (3,2)",False
33,"(3,1) + (3,1) + (3,2)",36,"(3,1) + (3,1) + (3,2)",True
34,"(3,1) + (3,1) + (3b,2)",36,"(3,1) + (3,1) + (3b,2)",True
35,"(3,1) + (3,2) + (3b,1)",36,"(3,1) + (3,2) + (3b,1)",True
36,"(3,1) + (3b,1) + (3b,2)",36,"(3,1) + (3,2) + (3b,1)",False
37,"(3,2) + (3b,1) + (3b,1)",36,"(3,1) + (3,1) + (3b,2)",False
38,"(3,2) + (6,1)",36,"(3,2) + (6,1)",True
39,"(3,2) + (6b,1)",36,"(3,2) + (6b,1)",True
